"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"dsRNA viruses",52.3709677419355,62,3.59067038339932,52.5,1,"null",-1
"ssDNA viruses",56.1612903225806,62,3.2703012764761,56,1,"null",-1
"ssRNA viruses",49.5,62,3.69203839917512,50,1,"null",-1
"dsDNA viruses, no RNA stage",57.758064516129,62,3.52362278116801,58,2,"null",-1
"dsRNA viruses",51.9354838709677,62,4.10465935865027,52,2,"null",-1
"ssDNA viruses",55.5322580645161,62,3.51445605676524,55,2,"null",-1
"ssRNA viruses",49.258064516129,62,3.68841999969229,49,2,"null",-1
"dsDNA viruses, no RNA stage",58.1612903225806,62,3.65833227428635,59,3,"null",-1
"dsRNA viruses",51.8225806451613,62,4.31742255210093,51,3,"null",-1
"ssDNA viruses",55.8225806451613,62,3.45711048467153,56,3,"null",-1
"ssRNA viruses",50.5645161290323,62,3.06551933258039,50.5,3,"null",-1
"dsDNA viruses, no RNA stage",57.2903225806452,62,3.84275813162503,57.5,4,"null",-1
"dsRNA viruses",53.0645161290323,62,3.04539947441251,53.5,4,"null",-1
"ssDNA viruses",56.4838709677419,62,3.49116888445676,56.5,4,"null",-1
"ssRNA viruses",49.6612903225806,62,3.79362514626796,50,4,"null",-1
"dsDNA viruses, no RNA stage",57.0645161290323,62,3.43974345088879,57.5,5,"null",-1
"dsRNA viruses",52.1612903225806,62,4.09395215035704,52,5,"null",-1
"ssDNA viruses",56.2903225806452,62,3.39906977040365,56,5,"null",-1
"ssRNA viruses",49.8064516129032,62,4.01978186210792,50,5,"null",-1
"dsDNA viruses, no RNA stage",57.7741935483871,62,3.48024568022314,58,6,"null",-1
"dsRNA viruses",52.4032258064516,62,3.25153016900948,52,6,"null",-1
"ssDNA viruses",56.5483870967742,62,3.88218891844785,57,6,"null",-1
"ssRNA viruses",50.6451612903226,62,3.79860532729782,50,6,"null",-1
"dsDNA viruses, no RNA stage",57.6451612903226,62,3.05199088042784,57.5,7,"null",-1
"dsRNA viruses",52.6774193548387,62,3.73628286195482,52,7,"null",-1
"ssDNA viruses",55.7741935483871,62,3.69944326710318,56,7,"null",-1
"ssRNA viruses",50.0322580645161,62,4.23090790526132,50.5,7,"null",-1
"dsDNA viruses, no RNA stage",58.0806451612903,62,3.73858212404849,58,8,"null",-1
"dsRNA viruses",52.8709677419355,62,3.01082130817523,52.5,8,"null",-1
"ssDNA viruses",56.0322580645161,62,3.37283138310653,56,8,"null",-1
"ssRNA viruses",49.8225806451613,62,3.88576297357834,50,8,"null",-1
"dsDNA viruses, no RNA stage",58.6290322580645,62,3.05809257473734,58,9,"null",-1
"dsRNA viruses",51.758064516129,62,3.93673528664056,52,9,"null",-1
"ssDNA viruses",56.1774193548387,62,3.57369347235788,56.5,9,"null",-1
"ssRNA viruses",50.0967741935484,62,3.23256827001484,50,9,"null",-1
"dsDNA viruses, no RNA stage",56.8548387096774,62,3.44439089856009,57,10,"null",-1
"dsRNA viruses",52.6129032258064,62,3.59578459351228,53,10,"null",-1
"ssDNA viruses",56.4354838709677,62,2.86082051592297,57,10,"null",-1
"ssRNA viruses",49.8064516129032,62,4.50805730278146,50,10,"null",-1
"dsDNA viruses, no RNA stage",58.8870967741936,62,3.60375413868934,59,1,"null",-1
"dsRNA viruses",50.8709677419355,62,4.1979068592505,51,1,"null",-1
"ssDNA viruses",52.8870967741936,62,4.13344947324366,53,1,"null",-1
"ssRNA viruses",53.4677419354839,62,4.27235774709892,54,1,"null",-1
"dsDNA viruses, no RNA stage",58.5806451612903,62,2.65223930810084,59,2,"null",-1
"dsRNA viruses",50.6612903225806,62,3.29402612980517,51,2,"null",-1
"ssDNA viruses",53.3548387096774,62,3.81582887110507,53,2,"null",-1
"ssRNA viruses",53.6451612903226,62,3.49283469918833,53,2,"null",-1
"dsDNA viruses, no RNA stage",58.7258064516129,62,3.21965966452474,59,3,"null",-1
"dsRNA viruses",50.5483870967742,62,4.17517024038832,50,3,"null",-1
"ssDNA viruses",53.6774193548387,62,3.43928220469819,54,3,"null",-1
"ssRNA viruses",54.1129032258064,62,3.66241360311985,54,3,"null",-1
"dsDNA viruses, no RNA stage",58.3870967741936,62,3.65008348752341,59,4,"null",-1
"dsRNA viruses",50.5967741935484,62,4.41480251278175,50,4,"null",-1
"ssDNA viruses",53.241935483871,62,3.11887686736784,53,4,"null",-1
"ssRNA viruses",53.3225806451613,62,3.83159511169266,54,4,"null",-1
"dsDNA viruses, no RNA stage",59.0967741935484,62,3.05528125087463,59,5,"null",-1
"dsRNA viruses",50.2741935483871,62,3.86734693165661,50.5,5,"null",-1
"ssDNA viruses",53.4516129032258,62,4.12381098354756,54,5,"null",-1
"ssRNA viruses",54.241935483871,62,3.97815957064821,54,5,"null",-1
"dsDNA viruses, no RNA stage",59.2741935483871,62,3.0950481594744,59,6,"null",-1
"dsRNA viruses",50.5806451612903,62,4.05110139687506,50,6,"null",-1
"ssDNA viruses",52.4193548387097,62,3.63294753246792,52.5,6,"null",-1
"ssRNA viruses",53.8709677419355,62,3.73061710259248,54,6,"null",-1
"dsDNA viruses, no RNA stage",58.9838709677419,62,3.52737275326195,59,7,"null",-1
"dsRNA viruses",50.9677419354839,62,4.52304750715522,51,7,"null",-1
"ssDNA viruses",53.3870967741936,62,3.59578459351228,53,7,"null",-1
"ssRNA viruses",53.3064516129032,62,3.91545366036591,54,7,"null",-1
"dsDNA viruses, no RNA stage",58.4838709677419,62,3.6786577001511,59,8,"null",-1
"dsRNA viruses",50.3709677419355,62,4.549306814312,50,8,"null",-1
